i, j, number of events processed, number of events selected
265, 0, 56144, 116
266, 0, 56755, 124
267, 0, 56616, 128
268, 0, 56663, 129
269, 0, 56368, 136
270, 0, 56763, 127
271, 0, 56833, 140
272, 0, 57007, 117
273, 0, 56686, 115
274, 0, 56494, 111
275, 0, 56862, 128
276, 0, 56704, 138
277, 0, 57318, 143
278, 0, 56671, 131
279, 0, 56860, 134
280, 0, 56704, 110
281, 0, 56516, 112
282, 0, 56998, 108
283, 0, 56674, 133
284, 0, 56735, 111
285, 0, 56655, 123
287, 0, 56963, 139
288, 0, 56984, 119
286, 0, 56970, 133
289, 0, 56454, 97
291, 0, 56992, 122
290, 0, 56726, 132
292, 0, 57213, 141
293, 0, 57139, 122
295, 0, 56480, 117
294, 0, 57146, 114
296, 0, 56416, 134
297, 0, 56864, 146
298, 0, 56622, 129
299, 0, 56703, 130
300, 0, 57111, 129
301, 0, 56729, 137
302, 0, 56798, 124
303, 0, 57369, 114
304, 0, 56555, 120
305, 0, 56691, 126
306, 0, 56229, 115
307, 0, 56739, 121
308, 0, 56613, 130
310, 0, 56772, 135
309, 0, 57047, 136
311, 0, 56569, 104
312, 0, 57008, 143
313, 0, 56598, 139
314, 0, 56390, 133
315, 0, 56532, 138
316, 0, 57049, 123
317, 0, 56727, 126
318, 0, 56227, 114
319, 0, 57052, 135
321, 0, 56828, 131
320, 0, 56735, 134
322, 0, 56636, 139
323, 0, 56106, 123
324, 0, 56969, 139
325, 0, 56600, 136
326, 0, 56221, 123
327, 0, 56676, 113
328, 0, 56224, 117
329, 0, 57004, 135
330, 0, 56572, 120
331, 0, 56281, 135
332, 0, 56140, 109
333, 0, 56768, 138
334, 0, 56751, 113
335, 0, 56683, 151
336, 0, 56691, 125
338, 0, 56964, 125
337, 0, 56795, 135
339, 0, 56522, 106
340, 0, 56672, 145
341, 0, 56635, 137
342, 0, 56762, 131
343, 0, 56593, 123
344, 0, 56694, 130
345, 0, 56338, 126
346, 0, 56413, 122
347, 0, 56611, 121
348, 0, 56922, 105
349, 0, 56618, 112
350, 0, 56781, 131
351, 0, 56698, 123
352, 0, 56633, 105
353, 0, 56904, 122
354, 0, 56503, 128
355, 0, 56319, 138
356, 0, 56288, 115
357, 0, 56843, 126
358, 0, 56422, 127
359, 0, 56577, 117
360, 0, 56841, 132
361, 0, 56526, 128
362, 0, 56488, 114
363, 0, 56939, 128
364, 0, 56425, 118
365, 0, 56616, 116
366, 0, 56419, 129
367, 0, 56950, 134
368, 0, 56669, 111
369, 0, 56607, 108
370, 0, 56651, 141
371, 0, 56444, 117
373, 0, 56618, 130
372, 0, 56594, 133
374, 0, 56621, 122
375, 0, 56869, 125
376, 0, 56620, 124
377, 0, 56625, 146
378, 0, 56822, 130
379, 0, 56375, 108
380, 0, 56421, 121
381, 0, 56494, 133
382, 0, 56534, 105
383, 0, 56444, 120
384, 0, 56194, 111
385, 0, 56766, 126
386, 0, 56617, 142
387, 0, 56863, 136
388, 0, 56588, 112
389, 0, 56862, 110
390, 0, 56650, 138
391, 0, 56543, 134
392, 0, 56577, 125
393, 0, 56604, 136
394, 0, 56611, 110
395, 0, 56409, 145
396, 0, 56748, 136
397, 0, 56326, 136
398, 0, 56632, 127
399, 0, 56558, 106
400, 0, 57114, 118
401, 0, 56742, 116
402, 0, 56787, 119
403, 0, 56227, 122
404, 0, 56604, 118
405, 0, 56719, 112
406, 0, 56916, 136
407, 0, 56490, 130
408, 0, 56503, 121
409, 0, 56802, 125
410, 0, 56593, 115
411, 0, 56315, 127
412, 0, 56666, 101
413, 0, 56463, 115
414, 0, 56730, 114
415, 0, 56926, 146
416, 0, 56823, 141
417, 0, 56940, 125
418, 0, 56772, 115
419, 0, 56724, 115
420, 0, 56334, 121
421, 0, 56484, 116
422, 0, 56929, 134
423, 0, 56313, 174
424, 0, 56650, 141
425, 0, 56546, 128
426, 0, 56475, 113
427, 0, 56186, 124
428, 0, 56837, 127
429, 0, 56812, 147
430, 0, 56894, 109
431, 0, 56444, 126
432, 0, 56871, 129
433, 0, 56899, 115
434, 0, 56442, 116
435, 0, 56285, 105
436, 0, 56509, 107
437, 0, 56762, 115
438, 0, 56925, 120
439, 0, 56689, 140
441, 0, 56792, 117
440, 0, 56280, 98
442, 0, 56701, 126
443, 0, 56722, 137
444, 0, 56728, 118
445, 0, 56396, 135
446, 0, 56525, 124
447, 0, 56634, 129
448, 0, 56458, 107
449, 0, 56499, 126
450, 0, 56825, 142
451, 0, 56817, 131
452, 0, 56263, 139
453, 0, 56652, 125
454, 0, 56839, 136
455, 0, 56662, 129
456, 0, 56549, 125
457, 0, 56484, 118
458, 0, 56920, 103
459, 0, 56607, 138
460, 0, 56860, 116
461, 0, 57022, 143
462, 0, 56601, 107
463, 0, 56765, 110
464, 0, 56696, 127
465, 0, 56471, 109
466, 0, 56465, 116
467, 0, 56426, 123
468, 0, 56401, 132
469, 0, 56378, 132
470, 0, 56543, 115
471, 0, 56542, 144
472, 0, 56564, 107
473, 0, 56422, 134
474, 0, 56759, 132
475, 0, 56784, 123
476, 0, 56462, 99
477, 0, 56604, 150
478, 0, 56423, 119
479, 0, 56773, 123
480, 0, 56526, 123
481, 0, 57541, 123
482, 0, 56531, 132
484, 0, 56310, 134
483, 0, 56729, 133
485, 0, 56960, 120
486, 0, 57033, 144
487, 0, 56456, 132
488, 0, 57111, 122
489, 0, 56555, 137
490, 0, 56466, 116
491, 0, 56150, 121
492, 0, 56626, 117
493, 0, 57042, 103
494, 0, 56733, 120
495, 0, 56582, 133
496, 0, 56940, 128
497, 0, 56965, 143
498, 0, 56780, 125
499, 0, 56465, 127
500, 0, 56703, 118
501, 0, 56767, 125
502, 0, 56937, 144
503, 0, 56647, 131
504, 0, 56360, 114
505, 0, 56276, 132
506, 0, 56555, 126
507, 0, 56371, 142
508, 0, 56719, 133
509, 0, 56225, 133
510, 0, 57112, 106
511, 0, 56351, 113
512, 0, 56538, 125
513, 0, 56675, 136
